https://www.etuovi.com/kohde/7879903?sc=LRnomun_nodistr&pos=48,Keskusta Turku,Eerikinkatu 27 C,Kerrostalo,4h+k+kph+wc+sauna,"101,5 m²",320 000 €,1984
https://www.etuovi.com/kohde/9980462?sc=LRnomun_nodistr&pos=49,Vuosaari Helsinki,Ulappasaarentie 1,Kerrostalo,1h+kk,"31,0 m²",138 800 €,1971
https://www.etuovi.com/kohde/k48698?sc=LRnomun_nodistr&pos=50,Kaljala Paimio,Kaljalantie 1 C 8,Rivitalo,"2h,k,s","67,5 m²",138 000 €,1991
https://www.etuovi.com/kohde/h93389?sc=LRnomun_nodistr&pos=51,Länsiranta Porvoo,Juttenpolku 2 E 20,Erillistalo,3 mh + oh + rt + k + kph + wc,"105,0 m²",365 000 €,2004
https://www.etuovi.com/kohde/9501515?sc=LRnomun_nodistr&pos=52,Kirkonmäki Siilinjärvi,Santamäentie 1,Kerrostalo,2h+k+kph/wc+s+vh ja lasitettu parveke,"52,0 m²",165 000 €,2002
https://www.etuovi.com/kohde/9707215?sc=LRnomun_nodistr&pos=53,Ullanlinna Helsinki,Vuorimiehenkatu 14,Kerrostalo,"1h,kk,et,kph","31,0 m²",266 000 €,1941
https://www.etuovi.com/kohde/1244855?sc=LRnomun_nodistr&pos=54,Ollila Kempele,Lippitie 10-12,Rivitalo,"3h, k, kph, s, kellari","75,0 m²",113 000 €,1968
https://www.etuovi.com/kohde/h32497?sc=LRnomun_nodistr&pos=55,Kaarteenaho Liminka,Aapinaho 30 B,Paritalo,4h+k+s+khh+kh+vh+autotalli,"89,4 m²",152 000 €,2006
https://www.etuovi.com/kohde/646752?sc=LRnomun_nodistr&pos=56,keskusta Lapinlahti,Kangaslahdentie 34 B,Kerrostalo,"2h,k","52,0 m²",30 000 €,1972
https://www.etuovi.com/kohde/642885?sc=LRnomun_nodistr&pos=57,Huutoniemi Vaasa,Rehtorinkuja 2 D,Kerrostalo,4h+k,"94,0 m²",95 000 €,1971
https://www.etuovi.com/kohde/641464?sc=LRnomun_nodistr&pos=58,Keskusta Jyväskylä,Vapaudenkatu 68 A,Kerrostalo,3h+k+s,"65,0 m²",193 000 €,2004
https://www.etuovi.com/kohde/640965?sc=LRnomun_nodistr&pos=59,Halssila Jyväskylä,Tiirantie 11 as,Kerrostalo,"2h,k,s","54,5 m²",98 000 €,1991
https://www.etuovi.com/kohde/640901?sc=LRnomun_nodistr&pos=60,Vääksy Asikkala,Rillitie 5 A,Rivitalo,"4h,k,kph,s,wc,p","106,5 m²",139 000 €,1990
