date;1. open;2. high;3. low;4. close;5. volume
2019-03-21 14:21:00;183.3362;183.4;183.26;183.3736;32010.0
2019-03-21 14:22:00;183.4;183.52;183.4;183.5;72744.0
2019-03-21 14:23:00;183.55;183.64;183.43;183.5332;60006.0
2019-03-21 14:24:00;183.5803;183.61;183.5;183.59;37402.0
2019-03-21 14:25:00;183.64;183.69;183.58;183.58;29470.0
2019-03-21 14:26:00;183.58;183.58;183.37;183.4179;45634.0
2019-03-21 14:27:00;183.43;183.43;183.33;183.401;24616.0
2019-03-21 14:28:00;183.4464;183.4464;183.37;183.39;19913.0
2019-03-21 14:29:00;183.3839;183.54;183.37;183.47;27492.0
2019-03-21 14:30:00;183.46;183.46;183.41;183.41;22096.0
2019-03-21 14:31:00;183.47;183.51;183.42;183.4792;22280.0
2019-03-21 14:32:00;183.56;183.78;183.56;183.7304;34494.0
2019-03-21 14:33:00;183.76;183.79;183.69;183.7384;40259.0
2019-03-21 14:34:00;183.79;183.79;183.72;183.7571;34140.0
2019-03-21 14:35:00;183.74;183.76;183.72;183.74;29012.0
2019-03-21 14:36:00;183.75;183.7899;183.71;183.71;18827.0
2019-03-21 14:37:00;183.7399;183.7746;183.66;183.7746;32570.0
2019-03-21 14:38:00;183.795;183.795;183.63;183.7;25526.0
2019-03-21 14:39:00;183.71;183.78;183.71;183.78;6700.0
2019-03-21 14:40:00;183.8;183.89;183.78;183.86;35831.0
2019-03-21 14:41:00;183.86;183.87;183.82;183.82;26067.0
2019-03-21 14:42:00;183.8138;183.84;183.7;183.8;32283.0
2019-03-21 14:43:00;183.83;183.85;183.8;183.8305;19224.0
2019-03-21 14:44:00;183.85;183.93;183.84;183.84;41492.0
2019-03-21 14:45:00;183.82;183.95;183.8;183.95;15736.0
2019-03-21 14:46:00;183.96;183.98;183.93;183.98;37210.0
2019-03-21 14:47:00;183.97;184.22;183.97;184.2193;70904.0
2019-03-21 14:48:00;184.22;184.29;184.07;184.15;55564.0
2019-03-21 14:49:00;184.18;184.33;184.18;184.28;44015.0
2019-03-21 14:50:00;184.284;184.36;184.26;184.31;32026.0
2019-03-21 14:51:00;184.31;184.47;184.26;184.26;57418.0
2019-03-21 14:52:00;184.25;184.2596;183.85;183.85;66384.0
2019-03-21 14:53:00;183.86;184.09;183.86;184.035;54583.0
2019-03-21 14:54:00;184.03;184.17;183.9;184.17;53057.0
2019-03-21 14:55:00;184.1837;184.3;184.15;184.3;42717.0
2019-03-21 14:56:00;184.29;184.5;184.29;184.4014;52142.0
2019-03-21 14:57:00;184.42;184.6101;184.29;184.2925;115510.0
2019-03-21 14:58:00;184.27;184.2835;184.04;184.2835;83714.0
2019-03-21 14:59:00;184.3166;184.43;184.2664;184.3;69972.0
2019-03-21 15:00:00;184.3192;184.32;183.93;184.07;55221.0
2019-03-21 15:01:00;184.03;184.1;183.9;184.04;42473.0
2019-03-21 15:02:00;184.01;184.15;184.01;184.08;35468.0
2019-03-21 15:03:00;184.07;184.2137;184.07;184.2;44136.0
2019-03-21 15:04:00;184.19;184.2301;184.17;184.2301;22309.0
2019-03-21 15:05:00;184.22;184.2719;184.2;184.23;27531.0
2019-03-21 15:06:00;184.26;184.54;184.26;184.54;43958.0
2019-03-21 15:07:00;184.55;184.88;184.55;184.87;94245.0
2019-03-21 15:08:00;184.83;184.93;184.78;184.78;52726.0
2019-03-21 15:09:00;184.75;185.0;184.725;184.97;89509.0
2019-03-21 15:10:00;184.96;184.99;184.63;184.63;50653.0
2019-03-21 15:11:00;184.61;184.645;184.501;184.61;45701.0
2019-03-21 15:12:00;184.61;184.6114;184.4871;184.56;32090.0
2019-03-21 15:13:00;184.57;184.61;184.2077;184.2077;53486.0
2019-03-21 15:14:00;184.2;184.605;184.2;184.47;47437.0
2019-03-21 15:15:00;184.53;184.67;184.51;184.65;28448.0
2019-03-21 15:16:00;184.63;184.7913;184.61;184.7;49766.0
2019-03-21 15:17:00;184.6682;184.6682;184.52;184.6001;30695.0
2019-03-21 15:18:00;184.65;184.7793;184.62;184.7793;37710.0
2019-03-21 15:19:00;184.74;184.85;184.69;184.77;40662.0
2019-03-21 15:20:00;184.765;184.84;184.69;184.8;32899.0
2019-03-21 15:21:00;184.81;184.92;184.791;184.91;39334.0
2019-03-21 15:22:00;184.95;185.0;184.8485;184.99;61965.0
2019-03-21 15:23:00;184.96;184.96;184.75;184.93;34382.0
2019-03-21 15:24:00;184.93;184.9697;184.835;184.835;39864.0
2019-03-21 15:25:00;184.85;184.94;184.74;184.91;33526.0
2019-03-21 15:26:00;184.9337;184.986;184.87;184.91;43714.0
2019-03-21 15:27:00;184.9;184.99;184.8301;184.8301;35002.0
2019-03-21 15:28:00;184.82;184.8799;184.73;184.73;27133.0
2019-03-21 15:29:00;184.72;184.81;184.66;184.73;52707.0
2019-03-21 15:30:00;184.72;184.79;184.54;184.595;34779.0
2019-03-21 15:31:00;184.58;184.6;184.28;184.33;71976.0
2019-03-21 15:32:00;184.365;184.46;184.365;184.44;34772.0
2019-03-21 15:33:00;184.45;184.55;184.341;184.55;54218.0
2019-03-21 15:34:00;184.54;184.64;184.49;184.49;56413.0
2019-03-21 15:35:00;184.54;184.54;184.29;184.29;59175.0
2019-03-21 15:36:00;184.33;184.35;184.2;184.21;39069.0
2019-03-21 15:37:00;184.21;184.28;184.12;184.26;79724.0
2019-03-21 15:38:00;184.28;184.3599;184.28;184.33;50489.0
2019-03-21 15:39:00;184.36;184.49;184.34;184.46;47543.0
2019-03-21 15:40:00;184.461;184.5;184.384;184.384;39038.0
2019-03-21 15:41:00;184.3851;184.47;184.33;184.47;40058.0
2019-03-21 15:42:00;184.49;184.62;184.49;184.57;61776.0
2019-03-21 15:43:00;184.55;184.58;184.51;184.54;32874.0
2019-03-21 15:44:00;184.53;184.75;184.53;184.75;38800.0
2019-03-21 15:45:00;184.73;184.77;184.68;184.6913;50398.0
2019-03-21 15:46:00;184.67;184.69;184.58;184.62;40221.0
