date;1. open;2. high;3. low;4. close;5. volume
2019-03-20 14:21:00;174.55;174.8;174.55;174.67;15086.0
2019-03-20 14:22:00;174.58;174.8;174.57;174.794;25835.0
2019-03-20 14:23:00;174.9557;175.165;174.8773;174.8773;57422.0
2019-03-20 14:24:00;174.93;175.0499;174.93;174.94;29384.0
2019-03-20 14:25:00;174.9803;175.1;174.91;175.0925;20772.0
2019-03-20 14:26:00;175.07;175.27;175.07;175.23;46291.0
2019-03-20 14:27:00;175.33;175.79;175.32;175.79;86856.0
2019-03-20 14:28:00;175.81;175.8344;175.38;175.75;82542.0
2019-03-20 14:29:00;175.63;175.76;175.56;175.67;37012.0
2019-03-20 14:30:00;175.6994;175.99;175.6994;175.91;73307.0
2019-03-20 14:31:00;175.9062;175.959;175.86;175.9;41300.0
2019-03-20 14:32:00;175.9;175.92;175.6401;175.67;40504.0
2019-03-20 14:33:00;175.69;176.2;175.69;176.2;84544.0
2019-03-20 14:34:00;176.1799;176.1799;175.9031;175.99;51462.0
2019-03-20 14:35:00;176.06;176.06;175.83;175.9586;49769.0
2019-03-20 14:36:00;175.96;176.2299;175.93;176.2;59868.0
2019-03-20 14:37:00;176.21;176.23;175.766;175.9833;75755.0
2019-03-20 14:38:00;175.98;176.06;175.92;175.92;29664.0
2019-03-20 14:39:00;176.0;176.12;176.0;176.06;28526.0
2019-03-20 14:40:00;176.14;176.14;175.93;175.93;27633.0
2019-03-20 14:41:00;175.98;175.98;175.82;175.91;22700.0
2019-03-20 14:42:00;175.9284;176.02;175.7;175.7605;39986.0
2019-03-20 14:43:00;175.746;175.79;175.47;175.58;63132.0
2019-03-20 14:44:00;175.6;175.8199;175.6;175.8;34599.0
2019-03-20 14:45:00;175.801;175.81;175.57;175.57;29570.0
2019-03-20 14:46:00;175.5;175.67;175.3601;175.67;43054.0
2019-03-20 14:47:00;175.67;175.98;175.67;175.91;33007.0
2019-03-20 14:48:00;175.9;176.07;175.66;175.7568;44495.0
2019-03-20 14:49:00;175.7584;175.85;175.71;175.84;29573.0
2019-03-20 14:50:00;175.865;175.94;175.77;175.77;28992.0
2019-03-20 14:51:00;175.85;175.91;175.7734;175.7734;19396.0
2019-03-20 14:52:00;175.82;175.92;175.7799;175.92;28158.0
2019-03-20 14:53:00;175.95;176.0;175.865;175.865;22361.0
2019-03-20 14:54:00;175.86;175.91;175.75;175.75;19668.0
2019-03-20 14:55:00;175.7319;175.8;175.5477;175.635;39190.0
2019-03-20 14:56:00;175.6;175.62;175.48;175.6026;63750.0
2019-03-20 14:57:00;175.62;175.64;175.5;175.54;20692.0
2019-03-20 14:58:00;175.58;175.58;175.46;175.53;27543.0
2019-03-20 14:59:00;175.56;175.5685;175.26;175.39;36157.0
2019-03-20 15:00:00;175.38;175.5;175.3799;175.4539;35558.0
2019-03-20 15:01:00;175.5;175.6594;175.5;175.5971;22969.0
2019-03-20 15:02:00;175.57;175.7039;175.57;175.7039;18001.0
2019-03-20 15:03:00;175.73;175.79;175.45;175.45;22981.0
2019-03-20 15:04:00;175.57;175.64;175.28;175.36;43558.0
2019-03-20 15:05:00;175.33;175.33;175.01;175.0927;59450.0
2019-03-20 15:06:00;175.1;175.1;174.83;174.8687;40296.0
2019-03-20 15:07:00;174.84;175.19;174.84;175.07;30665.0
2019-03-20 15:08:00;175.11;175.14;175.0714;175.14;23989.0
2019-03-20 15:09:00;175.2;175.2276;175.14;175.22;17748.0
2019-03-20 15:10:00;175.16;175.25;174.95;175.25;34946.0
2019-03-20 15:11:00;175.26;175.39;175.26;175.31;17732.0
2019-03-20 15:12:00;175.31;175.31;175.2;175.2212;18777.0
2019-03-20 15:13:00;175.255;175.255;174.8909;175.08;47242.0
2019-03-20 15:14:00;175.169;175.27;175.14;175.27;23784.0
2019-03-20 15:15:00;175.26;175.32;175.18;175.19;16634.0
2019-03-20 15:16:00;175.34;175.34;175.12;175.2277;15012.0
2019-03-20 15:17:00;175.35;175.48;175.31;175.31;27980.0
2019-03-20 15:18:00;175.24;175.32;175.07;175.07;17915.0
2019-03-20 15:19:00;175.095;175.18;174.951;174.951;21688.0
2019-03-20 15:20:00;175.0;175.17;175.0;175.17;25947.0
2019-03-20 15:21:00;175.16;175.29;175.16;175.29;9932.0
2019-03-20 15:22:00;175.22;175.22;175.05;175.05;21307.0
2019-03-20 15:23:00;175.1;175.1;174.9574;174.9574;23053.0
2019-03-20 15:24:00;174.97;175.03;174.85;175.03;36782.0
2019-03-20 15:25:00;175.0753;175.11;174.9659;175.02;23627.0
2019-03-20 15:26:00;175.0037;175.03;174.92;174.92;14050.0
2019-03-20 15:27:00;174.906;175.0;174.8546;174.95;37130.0
2019-03-20 15:28:00;174.92;174.92;174.78;174.7846;25391.0
2019-03-20 15:29:00;174.82;174.91;174.77;174.91;26163.0
2019-03-20 15:30:00;174.9499;175.0413;174.9;175.0413;18641.0
2019-03-20 15:31:00;175.02;175.0299;174.78;174.78;31493.0
2019-03-20 15:32:00;174.74;174.81;174.56;174.56;55145.0
2019-03-20 15:33:00;174.53;174.56;174.32;174.47;63518.0
2019-03-20 15:34:00;174.41;174.41;174.16;174.16;32519.0
2019-03-20 15:35:00;174.13;174.35;174.12;174.26;72326.0
2019-03-20 15:36:00;174.26;174.54;174.26;174.51;60006.0
2019-03-20 15:37:00;174.4997;174.4997;174.275;174.31;32382.0
2019-03-20 15:38:00;174.3;174.37;174.3;174.324;17301.0
2019-03-20 15:39:00;174.28;174.3;174.22;174.26;43168.0
2019-03-20 15:40:00;174.25;174.25;174.05;174.09;29138.0
2019-03-20 15:41:00;174.05;174.17;174.0;174.11;41320.0
2019-03-20 15:42:00;174.1;174.17;174.1;174.15;21879.0
2019-03-20 15:43:00;174.14;174.25;174.09;174.24;19102.0
2019-03-20 15:44:00;174.22;174.28;174.22;174.25;29605.0
2019-03-20 15:45:00;174.24;174.28;174.21;174.21;32281.0
2019-03-20 15:46:00;174.18;174.49;174.18;174.47;35205.0
2019-03-20 15:47:00;174.46;174.7;174.46;174.7;60950.0
2019-03-20 15:48:00;174.71;174.98;174.71;174.97;77037.0
2019-03-20 15:49:00;174.93;175.0628;174.93;175.0204;32130.0
2019-03-20 15:50:00;175.02;175.19;175.0;175.0;44889.0
2019-03-20 15:51:00;174.9574;174.9574;174.77;174.81;47977.0
2019-03-20 15:52:00;174.7896;174.7896;174.7;174.7;35275.0
2019-03-20 15:53:00;174.68;174.76;174.6343;174.67;32615.0
2019-03-20 15:54:00;174.65;174.66;174.48;174.48;34679.0
2019-03-20 15:55:00;174.51;174.53;174.46;174.52;32356.0
2019-03-20 15:56:00;174.61;174.86;174.54;174.54;103429.0
2019-03-20 15:57:00;174.58;174.665;174.58;174.66;45096.0
2019-03-20 15:58:00;174.65;174.79;174.0;174.54;292907.0
2019-03-20 15:59:00;174.53;174.57;174.38;174.44;94309.0
2019-03-20 16:00:00;174.47;174.55;174.16;174.37;171582.0
