date;1. open;2. high;3. low;4. close;5. volume
2019-03-21 14:21:00;27.84;27.85;27.83;27.85;277343.0
2019-03-21 14:22:00;27.855;27.8901;27.855;27.8801;336772.0
2019-03-21 14:23:00;27.88;27.8901;27.88;27.889;238148.0
2019-03-21 14:24:00;27.89;27.89;27.85;27.86;205620.0
2019-03-21 14:25:00;27.87;27.87;27.85;27.85;79745.0
2019-03-21 14:26:00;27.85;27.86;27.82;27.825;205493.0
2019-03-21 14:27:00;27.82;27.825;27.77;27.775;322616.0
2019-03-21 14:28:00;27.78;27.8;27.77;27.77;180707.0
2019-03-21 14:29:00;27.77;27.78;27.72;27.73;239444.0
2019-03-21 14:30:00;27.72;27.76;27.72;27.76;157148.0
2019-03-21 14:31:00;27.77;27.795;27.7699;27.78;169479.0
2019-03-21 14:32:00;27.7899;27.8;27.785;27.799;104534.0
2019-03-21 14:33:00;27.79;27.7999;27.7801;27.799;128579.0
2019-03-21 14:34:00;27.8;27.85;27.8;27.835;293422.0
2019-03-21 14:35:00;27.8399;27.84;27.8;27.8111;216964.0
2019-03-21 14:36:00;27.81;27.83;27.81;27.83;78311.0
2019-03-21 14:37:00;27.8249;27.8368;27.8;27.825;209643.0
2019-03-21 14:38:00;27.825;27.8262;27.8;27.815;109343.0
2019-03-21 14:39:00;27.815;27.83;27.8116;27.8201;115026.0
2019-03-21 14:40:00;27.83;27.865;27.83;27.85;218944.0
2019-03-21 14:41:00;27.85;27.855;27.815;27.82;163047.0
2019-03-21 14:42:00;27.81;27.8301;27.8;27.8201;111745.0
2019-03-21 14:43:00;27.83;27.8461;27.83;27.84;113604.0
2019-03-21 14:44:00;27.845;27.85;27.8;27.8;243611.0
2019-03-21 14:45:00;27.8;27.8;27.77;27.785;323541.0
2019-03-21 14:46:00;27.79;27.7943;27.76;27.79;144996.0
2019-03-21 14:47:00;27.8;27.835;27.8;27.83;108610.0
2019-03-21 14:48:00;27.83;27.835;27.82;27.835;103442.0
2019-03-21 14:49:00;27.84;27.85;27.83;27.83;133890.0
2019-03-21 14:50:00;27.83;27.84;27.83;27.84;76928.0
2019-03-21 14:51:00;27.84;27.85;27.8344;27.85;85917.0
2019-03-21 14:52:00;27.8466;27.8466;27.79;27.815;221256.0
2019-03-21 14:53:00;27.81;27.8264;27.81;27.825;54409.0
2019-03-21 14:54:00;27.82;27.835;27.82;27.8299;120153.0
2019-03-21 14:55:00;27.83;27.85;27.82;27.85;186083.0
2019-03-21 14:56:00;27.8485;27.85;27.84;27.8449;91895.0
2019-03-21 14:57:00;27.85;27.9;27.845;27.9;485160.0
2019-03-21 14:58:00;27.9;27.9;27.83;27.89;878076.0
2019-03-21 14:59:00;27.895;27.9;27.83;27.84;298183.0
2019-03-21 15:00:00;27.85;27.865;27.8;27.8131;304619.0
2019-03-21 15:01:00;27.825;27.83;27.77;27.78;263536.0
2019-03-21 15:02:00;27.79;27.82;27.78;27.805;347319.0
2019-03-21 15:03:00;27.805;27.84;27.805;27.835;101896.0
2019-03-21 15:04:00;27.83;27.86;27.83;27.855;222681.0
2019-03-21 15:05:00;27.855;27.86;27.83;27.845;146017.0
2019-03-21 15:06:00;27.845;27.89;27.8431;27.89;134720.0
2019-03-21 15:07:00;27.89;27.98;27.89;27.97;833549.0
2019-03-21 15:08:00;27.97;27.97;27.94;27.955;331552.0
2019-03-21 15:09:00;27.95;28.0;27.95;27.989;357934.0
2019-03-21 15:10:00;27.9867;27.99;27.89;27.9;518406.0
2019-03-21 15:11:00;27.9;27.9;27.8701;27.88;255994.0
2019-03-21 15:12:00;27.88;27.8801;27.84;27.855;188418.0
2019-03-21 15:13:00;27.86;27.88;27.82;27.83;165256.0
2019-03-21 15:14:00;27.82;27.9;27.82;27.8893;234960.0
2019-03-21 15:15:00;27.89;27.9;27.87;27.895;163806.0
2019-03-21 15:16:00;27.895;27.938;27.895;27.92;274083.0
2019-03-21 15:17:00;27.92;27.92;27.86;27.9;281548.0
2019-03-21 15:18:00;27.905;27.918;27.9;27.91;176707.0
2019-03-21 15:19:00;27.92;27.9585;27.915;27.94;214656.0
2019-03-21 15:20:00;27.94;27.975;27.9389;27.97;273183.0
2019-03-21 15:21:00;27.97;28.0;27.9616;27.9801;509588.0
2019-03-21 15:22:00;27.9849;28.05;27.9849;28.04;1009456.0
2019-03-21 15:23:00;28.04;28.0401;27.98;28.0143;405205.0
2019-03-21 15:24:00;28.01;28.04;27.99;27.99;383071.0
2019-03-21 15:25:00;28.0;28.01;27.96;28.01;285287.0
2019-03-21 15:26:00;28.0184;28.03;28.01;28.025;158162.0
2019-03-21 15:27:00;28.03;28.04;28.01;28.015;280445.0
2019-03-21 15:28:00;28.015;28.015;27.98;27.99;241708.0
2019-03-21 15:29:00;27.995;28.0075;27.97;27.99;187073.0
2019-03-21 15:30:00;27.9924;28.0;27.93;27.94;314312.0
2019-03-21 15:31:00;27.94;27.96;27.88;27.9098;344204.0
2019-03-21 15:32:00;27.91;27.96;27.91;27.96;237100.0
2019-03-21 15:33:00;27.965;27.97;27.92;27.965;266346.0
2019-03-21 15:34:00;27.97;27.98;27.96;27.9799;176358.0
2019-03-21 15:35:00;27.97;27.97;27.94;27.955;137236.0
2019-03-21 15:36:00;27.96;27.97;27.95;27.955;166904.0
2019-03-21 15:37:00;27.96;27.96;27.92;27.95;205762.0
2019-03-21 15:38:00;27.94;27.97;27.94;27.945;188292.0
2019-03-21 15:39:00;27.95;27.98;27.95;27.975;193293.0
2019-03-21 15:40:00;27.97;27.98;27.9629;27.975;156153.0
2019-03-21 15:41:00;27.975;28.0;27.96;28.0;347582.0
2019-03-21 15:42:00;27.9989;28.04;27.9989;28.04;445266.0
2019-03-21 15:43:00;28.04;28.06;28.04;28.0411;577815.0
2019-03-21 15:44:00;28.04;28.09;28.04;28.09;529696.0
2019-03-21 15:45:00;28.085;28.11;28.06;28.065;631327.0
2019-03-21 15:46:00;28.06;28.07;28.04;28.04;296290.0
2019-03-21 15:47:00;28.04;28.075;28.02;28.07;336596.0
2019-03-21 15:48:00;28.075;28.08;28.04;28.04;289645.0
2019-03-21 15:49:00;28.04;28.07;28.04;28.07;195912.0
2019-03-21 15:50:00;28.0699;28.075;28.03;28.04;255947.0
